CustomerID,recency,frequency,monetary,cluster
12346,5307,12,77556.46,3
12347,4983,8,4921.53,0
12348,5057,5,2019.4,0
12349,5000,4,4428.69,0
12350,5291,1,334.4,0
12351,5356,1,300.93,0
12352,5018,10,2849.84,0
12353,5185,2,406.76,0
12354,5214,1,1079.4,0
12355,5196,2,947.61,0
12356,5004,6,6371.73,0
12357,5014,3,18287.66,0
12358,4983,5,3887.07,0
12359,5039,10,8873.39,0
12360,5033,8,4252.89,0
12361,5269,4,511.25,0
12362,4984,11,5356.23,0
12363,5091,2,552.0,0
12364,4989,4,1313.1,0
12365,5273,2,641.38,0
12366,5615,1,500.24,0
12367,4985,1,168.9,0
12368,5609,1,917.6999999999999,0
12369,5395,3,1791.15,0
12370,5032,7,4316.56,0
12371,5026,5,4067.38,0
12372,5053,3,1298.04,0
12373,5293,3,1127.65,0
12374,5006,4,2989.2200000000003,0
12375,4992,2,457.5,0
12376,5371,2,503.15,0
12377,5296,4,3426.32,0
12378,5111,2,5416.32,0
12379,5063,4,1620.22,0
12380,5003,11,9676.300000000001,0
12381,4986,5,1845.31,0
12383,5166,5,1850.56,0
12384,5010,2,585.27,0
12385,5360,1,1938.4,0
12386,5319,2,401.9,0
12387,5396,1,143.94,0
12388,4997,8,3901.11,0
12389,5384,3,1433.33,0
12390,5061,1,549.84,0
12391,5003,6,2724.84,0
12392,5573,1,234.75000000000003,0
12393,5053,6,2399.4500000000003,0
12394,5045,2,1272.48,0
12395,5000,15,4721.17,0
12396,5656,1,931.43,0
12397,5017,2,2409.9,0
12398,5027,1,1635.6599999999999,0
12399,5101,7,1962.3,0
12400,5396,1,205.25,0
12401,5285,1,84.3,0
12402,5305,6,1256.9,0
12403,5031,2,1019.36,0
12404,5663,1,63.24,0
12405,5130,1,1710.39,0
12406,5003,5,6390.36,0
12407,5031,5,1708.1200000000001,0
12408,5014,8,4340.7699999999995,0
12409,5060,7,23419.29,0
12410,5290,3,1013.71,0
12411,5391,1,346.9,0
12412,5056,6,2596.93,0
12413,5048,4,999.45,0
12414,5198,6,952.41,0
12415,5006,28,144458.37,2
12416,5638,1,202.56,0
12417,4984,20,6797.41,0
12418,5094,4,2021.2,0
12419,5367,2,503.01,0
12420,5045,1,600.39,0
12421,4997,6,1098.6,0
12422,5077,17,5231.8,0
12423,4982,10,2622.39,0
12424,5144,4,3340.03,0
12425,5059,2,1741.41,0
12426,5176,2,1345.21,0
12427,5003,3,825.8,0
12428,5007,9,7956.46,0
12429,4990,8,6204.41,0
12430,5024,1,256.4,0
12431,5017,27,10432.22,0
12432,5024,5,5059.32,0
12433,4982,10,16794.14,0
12434,5066,3,1103.43,0
12435,5061,6,13925.93,0
12436,5081,1,509.01,0
12437,4983,39,12683.4,0
12438,4996,2,2906.85,0
12439,5664,2,1142.88,0
12440,5444,2,859.2,0
12441,5348,1,173.55,0
12442,4985,1,172.06,0
12443,5713,1,485.31,0
12444,5003,5,5005.46,0
12445,5003,2,434.98,0
12446,5039,1,1002.3100000000001,0
12447,5225,1,476.49,0
12448,5026,1,449.45,0
12449,5004,6,4835.89,0
12450,5138,5,688.2,0
12451,4992,8,12669.88,0
12452,4998,2,430.57,0
12453,5116,1,707.09,0
12454,5037,5,16679.78,0
12455,5054,10,5879.95,0
12456,5026,3,3181.04,0
12457,5048,8,2995.91,0
12458,5052,4,1777.49,0
12459,5586,1,454.36,0
12460,5438,1,326.65,0
12461,5075,2,826.88,0
12462,5000,2,1189.59,0
12463,5035,4,1344.78,0
12464,4992,8,1212.05,0
12465,4998,2,742.1899999999999,0
12466,5663,1,56.73,0
12467,5404,1,132.8,0
12468,5169,5,3670.74,0
12469,5504,2,3070.54,0
12470,5671,1,211.95,0
12471,4983,79,39918.19,3
12472,5014,19,16249.289999999999,0
12473,5011,5,3928.0499999999997,0
12474,4999,31,12372.75,0
12475,5035,2,1149.64,0
12476,4997,23,14083.91,0
12477,5004,9,20276.37,0
12478,4985,1,680.99,0
12479,4993,1,527.2,0
12480,5009,7,5464.85,0
12481,5004,15,12185.51,0
12482,5557,29,23691.4,0
12483,4998,19,5097.18,0
12484,5014,12,6354.1,0
12485,5510,1,708.1,0
12486,5413,1,1037.28,0
12487,5712,1,285.29999999999995,0
12488,4991,3,1298.66,0
12489,5318,1,334.93,0
12490,4986,21,9823.64,0
12491,5020,1,460.40000000000003,0
12492,5044,3,715.21,0
12493,5147,2,433.74,0
12494,4997,9,1815.27,0
12495,5622,1,357.4,0
12496,5602,2,45.34,0
12497,5063,3,6248.5,0
12498,5003,3,403.70000000000005,0
12499,5541,1,393.72,0
12500,5004,19,5955.21,0
12501,5318,1,2169.39,0
12502,5077,5,3723.87,0
12503,5566,1,1126.0,0
12504,4999,4,779.05,0
12505,5390,1,955.2,0
12506,5214,1,73.5,0
12507,5115,4,1844.06,0
12508,5007,2,397.88,0
12509,5265,1,176.5,0
12510,5124,9,5178.02,0
12511,5410,1,3084.02,0
12512,5047,2,132.18,0
12513,5094,1,612.29,0
12514,5248,2,1597.76,0
12515,5334,1,383.7,0
12516,5059,4,2648.62,0
